venue,city,pitch_report,average_score,highest_score,lowest_score,characteristics,source,source_url,last_updated,test_stats,odi_stats,t20_stats,ipl_stats,interesting_records,notable_performances
Eden Gardens,Kolkata,"Venue Description:One of the biggest sporting centres, Kolkata's Eden Garden holds a special place of interest in the history of Indian cricket. Capable of holding more than one lakh people at one stage, the capacity has now been reduced to a little more than 66,000 after the stadium underwent renovation before the 2011 World Cup.Referred as ""Cricket's answer to the Colosseum,"" the Eden Gardens, the largest cricket stadium in India, has hosted many prominent matches. The Eden Gardens crowd simply loves their sport. The first World Cup final outside Lord's was at this majestic venue. Anil Kumble's 6/12 against West Indies in the final of the 1993 Hero Cup was on this hallowed turf.Sachin Tendulkar's famous run-out during the Asian Test Championship match against Pakistan, resulted in Kolkata's mob fury in action once again - the match was eventually finished in front of empty stands. This wasn't the first time though - not to forget the previous instance, when India slumped to 120/8, chasing 252 against Sri Lanka in the semi-final of the 1996 World Cup.There have been happier times as well. The 376-run stand between VVS Laxman and Rahul Dravid during the famous 2001 Test series against Australia, which inspired a famous Indian victory, came here. Rohit Sharma's belligerent ODI world record, a 173-ball 264, against Sri Lanka, in Nov 2014, also came on this famous ground.The stadium hosted its first Test in 1934, with India hosting England. While the Test match came early, it had to wait until 1987 to host its first ODI, against Pakistan. While the stadium is synonymous with cricket, until 1984, it was also used as a football venue, with several of prominent derbies being held over the maidan.How does the pitch play?The Eden Gardens track is considered as one of the better batting surfaces although spinners tend to come into action as the match wears on. Spinners have enjoyed bowling here in IPL games as well.Stats and TriviaThe highest ODI score by any batsman was made on this ground. Rohit Sharma smashed 264 against Sri Lanka in November, 2014Eden Gardens has hosted as many as 39 Tests - the most by any venue in India.byPradeep Krishnamurthy",Average 1st innings score: 137,Highest score: 162/4 (18.5 Ov) by IND vs WI,Lowest score: 186/5 (20 Ov) by IND vs WI,"Batting friendly, Assists spin, Balanced for bat and ball",Cricbuzz,https://www.cricbuzz.com/cricket-series/9237/indian-premier-league-2025/venues/31/eden-gardens,2025-04-01,"{'Opened': '1864', 'Capacity': '63000', 'Ends': 'High Court End, Pavilion End', 'Location': 'Kolkata, India', 'Time Zone': 'UTC +05:30', 'Home to': 'Bengal, Kolkata Knight Riders', 'Floodlights': 'Yes', 'Curator': 'Probir Mukherjee', '14:00 GMT': 'TBC vs TBC, Final', '10:00 GMT': 'KKR vs RR, 53rd Match', 'Total matches': '42', 'Matches won batting first': '12', 'Matches won bowling first': '10', 'Average 1st Inns scores': '323', 'Average 2nd Inns scores': '314', 'Average 3rd Inns scores': '255', 'Average 4th Inns scores': '143', 'Highest total recorded': '657/7 (178 Ov) by IND vs AUS', 'Lowest total recorded': '90/10 (30 Ov) by IND vs WI'}","{'Total matches': '40', 'Matches won batting first': '23', 'Matches won bowling first': '16', 'Average 1st Inns scores': '243', 'Average 2nd Inns scores': '200', 'Highest total recorded': '404/5 (50 Ov) by IND vs SL', 'Lowest total recorded': '63/10 (39.3 Ov) by INDW vs ENGW', 'Highest score chased': '317/3 (48.1 Ov) by IND vs SL', 'Lowest score defended': '195/10 (50 Ov) by IND vs RSA'}","{'Total matches': '13', 'Matches won batting first': '5', 'Matches won bowling first': '8', 'Average 1st Inns scores': '153', 'Average 2nd Inns scores': '137', 'Highest total recorded': '201/5 (20 Ov) by PAK vs BAN', 'Lowest total recorded': '70/10 (15.4 Ov) by BAN vs NZ', 'Highest score chased': '162/4 (18.5 Ov) by IND vs WI', 'Lowest score defended': '186/5 (20 Ov) by IND vs WI'}",{},"['Total matches42Matches won batting first12Matches won bowling first10Average 1st Inns scores323Average 2nd Inns scores314Average 3rd Inns scores255Average 4th Inns scores143Highest total recorded657/7 (178 Ov) by IND vs AUSLowest total recorded90/10 (30 Ov) by IND vs WI', 'Total matches40Matches won batting first23Matches won bowling first16Average 1st Inns scores243Average 2nd Inns scores200Highest total recorded404/5 (50 Ov) by IND vs SLLowest total recorded63/10 (39.3 Ov) by INDW vs ENGWHighest score chased317/3 (48.1 Ov) by IND vs SLLowest score defended195/10 (50 Ov) by IND vs RSA', 'Total matches13Matches won batting first5Matches won bowling first8Average 1st Inns scores153Average 2nd Inns scores137Highest total recorded201/5 (20 Ov) by PAK vs BANLowest total recorded70/10 (15.4 Ov) by BAN vs NZHighest score chased162/4 (18.5 Ov) by IND vs WILowest score defended186/5 (20 Ov) by IND vs WI', 'Venue Description:One of the biggest sporting centres, Kolkata\'s Eden Garden holds a special place of interest in the history of Indian cricket. Capable of holding more than one lakh people at one stage, the capacity has now been reduced to a little more than 66,000 after the stadium underwent renovation before the 2011 World Cup.Referred as ""Cricket\'s answer to the Colosseum,"" the Eden Gardens, the largest cricket stadium in India, has hosted many prominent matches. The Eden Gardens crowd simply loves their sport. The first World Cup final outside Lord\'s was at this majestic venue. Anil Kumble\'s 6/12 against West Indies in the final of the 1993 Hero Cup was on this hallowed turf.Sachin Tendulkar\'s famous run-out during the Asian Test Championship match against Pakistan, resulted in Kolkata\'s mob fury in action once again - the match was eventually finished in front of empty stands. This wasn\'t the first time though - not to forget the previous instance, when India slumped to 120/8, chasing 252 against Sri Lanka in the semi-final of the 1996 World Cup.There have been happier times as well. The 376-run stand between VVS Laxman and Rahul Dravid during the famous 2001 Test series against Australia, which inspired a famous Indian victory, came here. Rohit Sharma\'s belligerent ODI world record, a 173-ball 264, against Sri Lanka, in Nov 2014, also came on this famous ground.The stadium hosted its first Test in 1934, with India hosting England. While the Test match came early, it had to wait until 1987 to host its first ODI, against Pakistan. While the stadium is synonymous with cricket, until 1984, it was also used as a football venue, with several of prominent derbies being held over the maidan.How does the pitch play?The Eden Gardens track is considered as one of the better batting surfaces although spinners tend to come into action as the match wears on. Spinners have enjoyed bowling here in IPL games as well.Stats and TriviaThe highest ODI score by any batsman was made on this ground. Rohit Sharma smashed 264 against Sri Lanka in November, 2014Eden Gardens has hosted as many as 39 Tests - the most by any venue in India.byPradeep Krishnamurthy']","['Venue Description:One of the biggest sporting centres, Kolkata\'s Eden Garden holds a special place of interest in the history of Indian cricket. Capable of holding more than one lakh people at one stage, the capacity has now been reduced to a little more than 66,000 after the stadium underwent renovation before the 2011 World Cup.Referred as ""Cricket\'s answer to the Colosseum,"" the Eden Gardens, the largest cricket stadium in India, has hosted many prominent matches. The Eden Gardens crowd simply loves their sport. The first World Cup final outside Lord\'s was at this majestic venue. Anil Kumble\'s 6/12 against West Indies in the final of the 1993 Hero Cup was on this hallowed turf.Sachin Tendulkar\'s famous run-out during the Asian Test Championship match against Pakistan, resulted in Kolkata\'s mob fury in action once again - the match was eventually finished in front of empty stands. This wasn\'t the first time though - not to forget the previous instance, when India slumped to 120/8, chasing 252 against Sri Lanka in the semi-final of the 1996 World Cup.There have been happier times as well. The 376-run stand between VVS Laxman and Rahul Dravid during the famous 2001 Test series against Australia, which inspired a famous Indian victory, came here. Rohit Sharma\'s belligerent ODI world record, a 173-ball 264, against Sri Lanka, in Nov 2014, also came on this famous ground.The stadium hosted its first Test in 1934, with India hosting England. While the Test match came early, it had to wait until 1987 to host its first ODI, against Pakistan. While the stadium is synonymous with cricket, until 1984, it was also used as a football venue, with several of prominent derbies being held over the maidan.How does the pitch play?The Eden Gardens track is considered as one of the better batting surfaces although spinners tend to come into action as the match wears on. Spinners have enjoyed bowling here in IPL games as well.Stats and TriviaThe highest ODI score by any batsman was made on this ground. Rohit Sharma smashed 264 against Sri Lanka in November, 2014Eden Gardens has hosted as many as 39 Tests - the most by any venue in India.byPradeep Krishnamurthy']"
M. Chinnaswamy Stadium,Bengaluru,"Venue DescriptionM Chinnaswamy stadium, lying in the heart of the state capital, continues to remain one of the biggest cricketing centres of the country. Starting off as a humble abode, the stadium has now turned out to be a marquee venue, capable of hosting some of the biggest cricket matches to be played in the country. Home to some of the classiest match-winners of India, Chinnaswamy stadium, in its debut Test match had the honour of hosting the West Indies in 1974. The match also marked the emergence of two modern legends, Gordon Greenidge and Sir Viv Richards. Since then, the stadium has regularly hosted Tests, although it's unfortunately considered as one of India's unluckiest venues.Bangalore hosted the final Test against Pakistan in 1987, remembered more for the minefield of a pitch and the consequent 96 from Sunil Gavaskar, one of the best ever knocks played by the little master. The venue also hosted Sachin Tendulkar's last Test as India's captain, against South Africa in February, 2000, enabling Hansie Cronje's men complete a historic series win. Unlike traditional Indian pitches, Bangalore offers more pace and bounce and it's one of the biggest reasons why overseas teams enjoy playing on this surface.Floodlights were installed on this beautiful ground in 1996 and the first D/N match was the epic battle between India and Pakistan in the 1996 World Cup. The other much talked about match at this venue is the Titan Cup match between India and Australia in 1996. India sneaked home by 2 wickets after local heroes, Anil Kumble and Javagal Srinath, were involved in a stunning 52-run partnership for the unbroken ninth wicket. Bangalore also hosted two India matches during the 2011 World Cup, with the game against England ending in a thrilling tie. The ground is also a regular host of IPL matches, with RCB playing all their home games, in front of their most loyal and boisterous supporters.How does the pitch play?Short boundaries and high altitude makes the Chinnaswamy track a heaven for batters in the limited-overs formats. Many big scores have been posted and chased down with immense ease. While it’s a batting paradise in the shorter format of the game, the track tends to help the pacers in Test cricket. One of the few Indian grounds to boast of a pitch with plenty of spice, many pacers have loved exhibiting their wares in the five-day version of the game.Stats and Trivia:Rohit Sharma scored his first ODI double hundred on this ground, a fine 209 against Australia in 2013The venue was also the scene of Ireland's biggest win. They beat England in the 2011 World Cup encounter after Kevin O'Brien smashed a 50-ball 100, the fastest hundred in a WC match.byPradeep Krishnamurthy",Average 1st innings score: 136,Highest score: 194/3 (19.4 Ov) by AUS vs IND,Lowest score: 114/7 (20 Ov) by SLW vs RSAW,"Batting friendly, Assists spin, Good for pacers",Cricbuzz,https://www.cricbuzz.com/cricket-series/9237/indian-premier-league-2025/venues/27/mchinnaswamy-stadium,2025-04-01,"{'Opened': '1969', 'Capacity': '40,000', 'Known as': 'Karnataka State Cricket Association Stadium', 'Ends': 'Pavilion End, BEML End', 'Location': 'Bengaluru, India', 'Time Zone': 'UTC +05:30', 'Home to': 'Karnataka, Royal Challengers Bengaluru', 'Floodlights': 'Yes', 'Curator': 'L Prashanth Rao', '14:00 GMT': 'RCB vs KKR, 68th Match', 'Total matches': '26', 'Matches won batting first': '10', 'Matches won bowling first': '6', 'Average 1st Inns scores': '342', 'Average 2nd Inns scores': '308', 'Average 3rd Inns scores': '217', 'Average 4th Inns scores': '170', 'Highest total recorded': '626/10 (150.2 Ov) by IND vs PAK', 'Lowest total recorded': '46/10 (31.2 Ov) by IND vs NZ'}","{'Total matches': '46', 'Matches won batting first': '18', 'Matches won bowling first': '24', 'Average 1st Inns scores': '241', 'Average 2nd Inns scores': '216', 'Highest total recorded': '410/4 (50 Ov) by IND vs NED', 'Lowest total recorded': '114/10 (38.5 Ov) by INDW vs RSAW', 'Highest score chased': '329/7 (49.1 Ov) by IRE vs ENG', 'Lowest score defended': '166/4 (22 Ov) by IND vs ENG'}","{'Total matches': '18', 'Matches won batting first': '7', 'Matches won bowling first': '9', 'Average 1st Inns scores': '141', 'Average 2nd Inns scores': '136', 'Highest total recorded': '212/4 (20 Ov) by IND vs AFG', 'Lowest total recorded': '99/10 (19.3 Ov) by RSAW vs NZW', 'Highest score chased': '194/3 (19.4 Ov) by AUS vs IND', 'Lowest score defended': '114/7 (20 Ov) by SLW vs RSAW'}",{},"['Total matches26Matches won batting first10Matches won bowling first6Average 1st Inns scores342Average 2nd Inns scores308Average 3rd Inns scores217Average 4th Inns scores170Highest total recorded626/10 (150.2 Ov) by IND vs PAKLowest total recorded46/10 (31.2 Ov) by IND vs NZ', 'Total matches46Matches won batting first18Matches won bowling first24Average 1st Inns scores241Average 2nd Inns scores216Highest total recorded410/4 (50 Ov) by IND vs NEDLowest total recorded114/10 (38.5 Ov) by INDW vs RSAWHighest score chased329/7 (49.1 Ov) by IRE vs ENGLowest score defended166/4 (22 Ov) by IND vs ENG', 'Total matches18Matches won batting first7Matches won bowling first9Average 1st Inns scores141Average 2nd Inns scores136Highest total recorded212/4 (20 Ov) by IND vs AFGLowest total recorded99/10 (19.3 Ov) by RSAW vs NZWHighest score chased194/3 (19.4 Ov) by AUS vs INDLowest score defended114/7 (20 Ov) by SLW vs RSAW', ""Venue DescriptionM Chinnaswamy stadium, lying in the heart of the state capital, continues to remain one of the biggest cricketing centres of the country. Starting off as a humble abode, the stadium has now turned out to be a marquee venue, capable of hosting some of the biggest cricket matches to be played in the country. Home to some of the classiest match-winners of India, Chinnaswamy stadium, in its debut Test match had the honour of hosting the West Indies in 1974. The match also marked the emergence of two modern legends, Gordon Greenidge and Sir Viv Richards. Since then, the stadium has regularly hosted Tests, although it's unfortunately considered as one of India's unluckiest venues.Bangalore hosted the final Test against Pakistan in 1987, remembered more for the minefield of a pitch and the consequent 96 from Sunil Gavaskar, one of the best ever knocks played by the little master. The venue also hosted Sachin Tendulkar's last Test as India's captain, against South Africa in February, 2000, enabling Hansie Cronje's men complete a historic series win. Unlike traditional Indian pitches, Bangalore offers more pace and bounce and it's one of the biggest reasons why overseas teams enjoy playing on this surface.Floodlights were installed on this beautiful ground in 1996 and the first D/N match was the epic battle between India and Pakistan in the 1996 World Cup. The other much talked about match at this venue is the Titan Cup match between India and Australia in 1996. India sneaked home by 2 wickets after local heroes, Anil Kumble and Javagal Srinath, were involved in a stunning 52-run partnership for the unbroken ninth wicket. Bangalore also hosted two India matches during the 2011 World Cup, with the game against England ending in a thrilling tie. The ground is also a regular host of IPL matches, with RCB playing all their home games, in front of their most loyal and boisterous supporters.How does the pitch play?Short boundaries and high altitude makes the Chinnaswamy track a heaven for batters in the limited-overs formats. Many big scores have been posted and chased down with immense ease. While it’s a batting paradise in the shorter format of the game, the track tends to help the pacers in Test cricket. One of the few Indian grounds to boast of a pitch with plenty of spice, many pacers have loved exhibiting their wares in the five-day version of the game.Stats and Trivia:Rohit Sharma scored his first ODI double hundred on this ground, a fine 209 against Australia in 2013The venue was also the scene of Ireland's biggest win. They beat England in the 2011 World Cup encounter after Kevin O'Brien smashed a 50-ball 100, the fastest hundred in a WC match.byPradeep Krishnamurthy""]","[""Venue DescriptionM Chinnaswamy stadium, lying in the heart of the state capital, continues to remain one of the biggest cricketing centres of the country. Starting off as a humble abode, the stadium has now turned out to be a marquee venue, capable of hosting some of the biggest cricket matches to be played in the country. Home to some of the classiest match-winners of India, Chinnaswamy stadium, in its debut Test match had the honour of hosting the West Indies in 1974. The match also marked the emergence of two modern legends, Gordon Greenidge and Sir Viv Richards. Since then, the stadium has regularly hosted Tests, although it's unfortunately considered as one of India's unluckiest venues.Bangalore hosted the final Test against Pakistan in 1987, remembered more for the minefield of a pitch and the consequent 96 from Sunil Gavaskar, one of the best ever knocks played by the little master. The venue also hosted Sachin Tendulkar's last Test as India's captain, against South Africa in February, 2000, enabling Hansie Cronje's men complete a historic series win. Unlike traditional Indian pitches, Bangalore offers more pace and bounce and it's one of the biggest reasons why overseas teams enjoy playing on this surface.Floodlights were installed on this beautiful ground in 1996 and the first D/N match was the epic battle between India and Pakistan in the 1996 World Cup. The other much talked about match at this venue is the Titan Cup match between India and Australia in 1996. India sneaked home by 2 wickets after local heroes, Anil Kumble and Javagal Srinath, were involved in a stunning 52-run partnership for the unbroken ninth wicket. Bangalore also hosted two India matches during the 2011 World Cup, with the game against England ending in a thrilling tie. The ground is also a regular host of IPL matches, with RCB playing all their home games, in front of their most loyal and boisterous supporters.How does the pitch play?Short boundaries and high altitude makes the Chinnaswamy track a heaven for batters in the limited-overs formats. Many big scores have been posted and chased down with immense ease. While it’s a batting paradise in the shorter format of the game, the track tends to help the pacers in Test cricket. One of the few Indian grounds to boast of a pitch with plenty of spice, many pacers have loved exhibiting their wares in the five-day version of the game.Stats and Trivia:Rohit Sharma scored his first ODI double hundred on this ground, a fine 209 against Australia in 2013The venue was also the scene of Ireland's biggest win. They beat England in the 2011 World Cup encounter after Kevin O'Brien smashed a 50-ball 100, the fastest hundred in a WC match.byPradeep Krishnamurthy""]"
MA Chidambaram Stadium,Chennai,"Venue Description:The stadium is named after the former President of BCCI and Tamil Nadu Cricket Association, MA Chidambaram. It was formerly known as Madras Cricket Club Ground. The ground was established in 1916, making it the oldest venue in India which is in continuous use. The stadium is more commonly known as Chepauk - the locality in which it is situated.Since 2008, the venue is home to Chennai Super Kings in the Indian Premier League. It hosted its first ever international game in 1934, a Test match between India and England, which the visitors won by 202 runs. The stadium has gone through several changes since then. The most notable ones being, the addition of floodlights in 1996 and the reconstruction in 2009 to accommodate more people and give state-of-art facility.The most fascinating thing about the ground is the crowd support. It is common knowledge that the Chepauk crowd is the most unbiased and the most knowledgeable crowd in the country. Saeed Anwar got a standing ovation when he made a record-breaking 194. When Pakistan won the 1999 Test, the team received good appreciation from the crowd. As mark of respect, the Pakistani team also took a lap of honour around the ground.How does the pitch play?When the pitches were uncovered and unattended to, it used to help the fast bowlers. However, since India started playing the spin quartet of Bishan Singh Bedi, BS Chandrasekar, S Venkatraghavan and EAS Prasanna, the wickets were made spin-friendly. Taking a look at the stats gives you a clear indication as to what type of bowlers hold the aces on the Chepauk wicket.Among the top 10 wicket-takers at the ground, nine of them are spinners and the only fast bowler on the list is Kapil Dev. Anil Kumble sits on top of the list with 48 wickets, followed closely by Harbhajan Singh - 42 wickets.Interesting facts about Chepauk:The first ever Ranji Trophy game was played at this venue. Madras' AG Ram Singh ran through Mysore with a 11-wicket haul in the match.For a long time, Chepauk hosted the famous Pongal (Harvest) Test. It used to be played in the month of January.India registered their first ever Test win at this stadium, when they beat England by an innings and 8 runs.The second tied Test in the history of cricket was played here, between India and Australia in 1986.Saeed Anwar recorded the highest individual score in ODIs - 194 - at this ground. The milestone remained for more than a decade, before Sachin Tendulkar scored 200 against South Africa.Sunil Gavaskar went past Don Bradman's 29 Test hundreds at this very venue.This ground was also witness to one of Sachin Tendulkar's greatest Test innings. The Indian maestro battled back spasms and almost took his side home against Pakistan in 1999. But his 136 went in vain as the arch-rivals sealed a 12-run victory.",Average 1st innings score: 127,Highest score: 182/4 (20 Ov) by IND vs WI,Lowest score: 103/8 (20 Ov) by WIW vs PAKW,"Assists spin, Good for pacers",Cricbuzz,https://www.cricbuzz.com/cricket-series/9237/indian-premier-league-2025/venues/11/ma-chidambaram-stadium,2025-04-01,"{'Capacity': '50000', 'Known as': 'Chepauk; Madras Cricket Club Ground', 'Ends': 'Anna Pavilion End, V Pattabhiraman Gate End', 'Location': 'Chennai, India', 'Time Zone': 'UTC +05:30', 'Home to': 'Tamil Nadu, Chennai Super Kings', 'Floodlights': 'Yes', '10:00 GMT': 'CSK vs DC, 17th Match', '14:00 GMT': 'CSK vs RR, 63rd Match', 'Total matches': '37', 'Matches won batting first': '14', 'Matches won bowling first': '10', 'Average 1st Inns scores': '348', 'Average 2nd Inns scores': '332', 'Average 3rd Inns scores': '245', 'Average 4th Inns scores': '157', 'Highest total recorded': '759/7 (190.4 Ov) by IND vs ENG', 'Lowest total recorded': '83/10 (38.5 Ov) by IND vs ENG'}","{'Total matches': '39', 'Matches won batting first': '18', 'Matches won bowling first': '20', 'Average 1st Inns scores': '229', 'Average 2nd Inns scores': '208', 'Highest total recorded': '337/7 (50 Ov) by ASIAXI vs AFRICAXI', 'Lowest total recorded': '69/10 (23.5 Ov) by KEN vs NZ', 'Highest score chased': '291/2 (47.5 Ov) by WI vs IND', 'Lowest score defended': '171/10 (45.4 Ov) by ENG vs RSA'}","{'Total matches': '10', 'Matches won batting first': '6', 'Matches won bowling first': '3', 'Average 1st Inns scores': '151', 'Average 2nd Inns scores': '127', 'Highest total recorded': '189/4 (20 Ov) by RSAW vs INDW', 'Lowest total recorded': '80/10 (17.5 Ov) by PAKW vs ENGW', 'Highest score chased': '182/4 (20 Ov) by IND vs WI', 'Lowest score defended': '103/8 (20 Ov) by WIW vs PAKW'}",{},"['Total matches37Matches won batting first14Matches won bowling first10Average 1st Inns scores348Average 2nd Inns scores332Average 3rd Inns scores245Average 4th Inns scores157Highest total recorded759/7 (190.4 Ov) by IND vs ENGLowest total recorded83/10 (38.5 Ov) by IND vs ENG', 'Total matches39Matches won batting first18Matches won bowling first20Average 1st Inns scores229Average 2nd Inns scores208Highest total recorded337/7 (50 Ov) by ASIAXI vs AFRICAXILowest total recorded69/10 (23.5 Ov) by KEN vs NZHighest score chased291/2 (47.5 Ov) by WI vs INDLowest score defended171/10 (45.4 Ov) by ENG vs RSA', 'Total matches10Matches won batting first6Matches won bowling first3Average 1st Inns scores151Average 2nd Inns scores127Highest total recorded189/4 (20 Ov) by RSAW vs INDWLowest total recorded80/10 (17.5 Ov) by PAKW vs ENGWHighest score chased182/4 (20 Ov) by IND vs WILowest score defended103/8 (20 Ov) by WIW vs PAKW', ""Venue Description:The stadium is named after the former President of BCCI and Tamil Nadu Cricket Association, MA Chidambaram. It was formerly known as Madras Cricket Club Ground. The ground was established in 1916, making it the oldest venue in India which is in continuous use. The stadium is more commonly known as Chepauk - the locality in which it is situated.Since 2008, the venue is home to Chennai Super Kings in the Indian Premier League. It hosted its first ever international game in 1934, a Test match between India and England, which the visitors won by 202 runs. The stadium has gone through several changes since then. The most notable ones being, the addition of floodlights in 1996 and the reconstruction in 2009 to accommodate more people and give state-of-art facility.The most fascinating thing about the ground is the crowd support. It is common knowledge that the Chepauk crowd is the most unbiased and the most knowledgeable crowd in the country. Saeed Anwar got a standing ovation when he made a record-breaking 194. When Pakistan won the 1999 Test, the team received good appreciation from the crowd. As mark of respect, the Pakistani team also took a lap of honour around the ground.How does the pitch play?When the pitches were uncovered and unattended to, it used to help the fast bowlers. However, since India started playing the spin quartet of Bishan Singh Bedi, BS Chandrasekar, S Venkatraghavan and EAS Prasanna, the wickets were made spin-friendly. Taking a look at the stats gives you a clear indication as to what type of bowlers hold the aces on the Chepauk wicket.Among the top 10 wicket-takers at the ground, nine of them are spinners and the only fast bowler on the list is Kapil Dev. Anil Kumble sits on top of the list with 48 wickets, followed closely by Harbhajan Singh - 42 wickets.Interesting facts about Chepauk:The first ever Ranji Trophy game was played at this venue. Madras' AG Ram Singh ran through Mysore with a 11-wicket haul in the match.For a long time, Chepauk hosted the famous Pongal (Harvest) Test. It used to be played in the month of January.India registered their first ever Test win at this stadium, when they beat England by an innings and 8 runs.The second tied Test in the history of cricket was played here, between India and Australia in 1986.Saeed Anwar recorded the highest individual score in ODIs - 194 - at this ground. The milestone remained for more than a decade, before Sachin Tendulkar scored 200 against South Africa.Sunil Gavaskar went past Don Bradman's 29 Test hundreds at this very venue.This ground was also witness to one of Sachin Tendulkar's greatest Test innings. The Indian maestro battled back spasms and almost took his side home against Pakistan in 1999. But his 136 went in vain as the arch-rivals sealed a 12-run victory.""]","[""Venue Description:The stadium is named after the former President of BCCI and Tamil Nadu Cricket Association, MA Chidambaram. It was formerly known as Madras Cricket Club Ground. The ground was established in 1916, making it the oldest venue in India which is in continuous use. The stadium is more commonly known as Chepauk - the locality in which it is situated.Since 2008, the venue is home to Chennai Super Kings in the Indian Premier League. It hosted its first ever international game in 1934, a Test match between India and England, which the visitors won by 202 runs. The stadium has gone through several changes since then. The most notable ones being, the addition of floodlights in 1996 and the reconstruction in 2009 to accommodate more people and give state-of-art facility.The most fascinating thing about the ground is the crowd support. It is common knowledge that the Chepauk crowd is the most unbiased and the most knowledgeable crowd in the country. Saeed Anwar got a standing ovation when he made a record-breaking 194. When Pakistan won the 1999 Test, the team received good appreciation from the crowd. As mark of respect, the Pakistani team also took a lap of honour around the ground.How does the pitch play?When the pitches were uncovered and unattended to, it used to help the fast bowlers. However, since India started playing the spin quartet of Bishan Singh Bedi, BS Chandrasekar, S Venkatraghavan and EAS Prasanna, the wickets were made spin-friendly. Taking a look at the stats gives you a clear indication as to what type of bowlers hold the aces on the Chepauk wicket.Among the top 10 wicket-takers at the ground, nine of them are spinners and the only fast bowler on the list is Kapil Dev. Anil Kumble sits on top of the list with 48 wickets, followed closely by Harbhajan Singh - 42 wickets.Interesting facts about Chepauk:The first ever Ranji Trophy game was played at this venue. Madras' AG Ram Singh ran through Mysore with a 11-wicket haul in the match.For a long time, Chepauk hosted the famous Pongal (Harvest) Test. It used to be played in the month of January.India registered their first ever Test win at this stadium, when they beat England by an innings and 8 runs.The second tied Test in the history of cricket was played here, between India and Australia in 1986.Saeed Anwar recorded the highest individual score in ODIs - 194 - at this ground. The milestone remained for more than a decade, before Sachin Tendulkar scored 200 against South Africa.Sunil Gavaskar went past Don Bradman's 29 Test hundreds at this very venue.This ground was also witness to one of Sachin Tendulkar's greatest Test innings. The Indian maestro battled back spasms and almost took his side home against Pakistan in 1999. But his 136 went in vain as the arch-rivals sealed a 12-run victory.""]"
