Rank,Player,Team,Mat,Inns,Wkts
1,Nicholas Pooran Lucknow Super,Giants,2,2,145
2,Sai Sudharsan Gujarat,Titans,2,2,137
3,Travis Head Sunrisers,Hyderabad,3,3,136
4,Mitchell Marsh Lucknow Super,Giants,2,2,124
5,Aniket Verma Sunrisers,Hyderabad,3,3,117
6,Ruturaj Gaikwad Chennai Super,Kings,3,3,116
7,Ishan Kishan Sunrisers,Hyderabad,3,3,108
8,Dhruv Jurel Rajasthan,Royals,3,3,106
9,Rachin Ravindra Chennai Super,Kings,3,3,106
10,Suryakumar Yadav Mumbai,Indians,3,3,104
11,Quinton de Kock Kolkata Knight,Riders,3,3,102
12,Nitish Rana Rajasthan,Royals,3,3,100
13,Sanju Samson Rajasthan,Royals,3,3,99
14,Shreyas Iyer Punjab,Kings,1,1,97
15,Jos Buttler Gujarat,Titans,2,2,93
