Rank,Player,Team,Mat,Inns,Wkts,Avg
1,Nicholas Pooran Lucknow Super,Giants,2,2,145,75
2,Sai Sudharsan Gujarat,Titans,2,2,137,74
3,Mitchell Marsh Lucknow Super,Giants,2,2,124,72
4,Travis Head Sunrisers,Hyderabad,2,2,114,67
5,Ishan Kishan Sunrisers,Hyderabad,2,2,106,106
6,Rachin Ravindra Chennai Super,Kings,2,2,106,65
7,Dhruv Jurel Rajasthan,Royals,2,2,103,70
8,Quinton de Kock Kolkata Knight,Riders,2,2,101,97
9,Shreyas Iyer Punjab,Kings,1,1,97,97
10,Jos Buttler Gujarat,Titans,2,2,93,54
11,Virat Kohli Royal Challengers,Bengaluru,2,2,90,59
12,Phil Salt Royal Challengers,Bengaluru,2,2,88,56
13,Rajat Patidar Royal Challengers,Bengaluru,2,2,85,51
14,Sanju Samson Rajasthan,Royals,2,2,79,66
15,Suryakumar Yadav Mumbai,Indians,2,2,77,48
16,Noor Ahmad Chennai Super,Kings,2,8,0,54
17,Josh Hazlewood Royal Challengers,Bengaluru,2,8,0,43
18,Shardul Thakur Lucknow Super,Giants,2,6,0,53
19,Kuldeep Yadav Delhi,Capitals,1,4,0,20
20,Vignesh Puthur Mumbai,Indians,1,4,0,32
21,Moeen Ali Kolkata Knight,Riders,1,4,0,23
22,Mitchell Starc Delhi,Capitals,1,4,0,42
23,Khaleel Ahmed Chennai Super,Kings,2,8,0,57
24,Yash Dayal Royal Challengers,Bengaluru,2,6,0,43
25,Hardik Pandya Mumbai,Indians,1,4,0,29
26,Sai Kishore Gujarat,Titans,2,8,0,67
27,Tushar Deshpande Rajasthan,Royals,2,5,0,51
28,Arshdeep Singh Punjab,Kings,1,4,0,36
29,Matheesha Pathirana Chennai Super,Kings,1,4,0,36
30,Krunal Pandya Royal Challengers,Bengaluru,2,6,0,55
