Rank,Player,Team,Mat,Inns,Overs,Econ
1,Nicholas Pooran Lucknow Super,Giants,2,2,145,75
2,Sai Sudharsan Gujarat,Titans,2,2,137,74
3,Travis Head Sunrisers,Hyderabad,3,3,136,67
4,Mitchell Marsh Lucknow Super,Giants,2,2,124,72
5,Aniket Verma Sunrisers,Hyderabad,3,3,117,74
6,Ishan Kishan Sunrisers,Hyderabad,3,3,108,106
7,Rachin Ravindra Chennai Super,Kings,2,2,106,65
8,Dhruv Jurel Rajasthan,Royals,2,2,103,70
9,Quinton de Kock Kolkata Knight,Riders,2,2,101,97
10,Shreyas Iyer Punjab,Kings,1,1,97,97
11,Jos Buttler Gujarat,Titans,2,2,93,54
12,Heinrich Klaasen Sunrisers,Hyderabad,3,3,92,34
13,Virat Kohli Royal Challengers,Bengaluru,2,2,90,59
14,Phil Salt Royal Challengers,Bengaluru,2,2,88,56
15,Rajat Patidar Royal Challengers,Bengaluru,2,2,85,51
16,Naman Dhir Mumbai,Indians,2,3,0,12
17,Kuldeep Yadav Delhi,Capitals,2,8,0,42
18,Josh Hazlewood Royal Challengers,Bengaluru,2,8,0,43
19,Moeen Ali Kolkata Knight,Riders,1,4,0,23
20,Riyan Parag Rajasthan,Royals,2,4,0,25
21,Bhuvneshwar Kumar Royal Challengers,Bengaluru,1,3,0,20
22,Sunil Narine Kolkata Knight,Riders,1,4,0,27
23,Noor Ahmad Chennai Super,Kings,2,8,0,54
24,Liam Livingstone Royal Challengers,Bengaluru,2,6,0,42
25,Khaleel Ahmed Chennai Super,Kings,2,8,0,57
26,Yash Dayal Royal Challengers,Bengaluru,2,6,0,43
27,Hardik Pandya Mumbai,Indians,1,4,0,29
28,Varun Chakaravarthy Kolkata Knight,Riders,2,8,0,60
29,Will Jacks Mumbai,Indians,1,4,0,32
30,Vignesh Puthur Mumbai,Indians,1,4,0,32
