Rank,Player,Team,Mat,Inns,6s
1,Nicholas Pooran Lucknow Super,Giants,2,2,145
2,Aniket Verma Sunrisers,Hyderabad,3,3,117
3,Shreyas Iyer Punjab,Kings,1,1,97
4,Sai Sudharsan Gujarat,Titans,2,2,137
5,Mitchell Marsh Lucknow Super,Giants,2,2,124
6,Dhruv Jurel Rajasthan,Royals,2,2,103
7,Quinton de Kock Kolkata Knight,Riders,2,2,101
8,Travis Head Sunrisers,Hyderabad,3,3,136
9,Ishan Kishan Sunrisers,Hyderabad,3,3,108
10,Ashutosh Sharma Delhi,Capitals,1,1,66
11,Faf du Plessis Delhi,Capitals,2,2,79
12,Suryakumar Yadav Mumbai,Indians,2,2,77
13,Ajinkya Rahane Kolkata Knight,Riders,2,2,74
14,Sherfane Rutherford Gujarat,Titans,2,2,64
15,Rachin Ravindra Chennai Super,Kings,2,2,106
