Rank,Player,Team,Mat,Inns,Runs,HS,Avg,SR,100s,50s,4s,6s
1,Nicholas Pooran Lucknow Super,Giants,2,2,145,75,72.50,258.92,0,2,12,13
2,Sai Sudharsan Gujarat,Titans,2,2,137,74,68.50,167.07,0,2,9,8
3,Travis Head Sunrisers,Hyderabad,3,3,136,67,45.33,191.54,0,1,18,6
4,Mitchell Marsh Lucknow Super,Giants,2,2,124,72,62.00,185.07,0,2,13,8
5,Aniket Verma Sunrisers,Hyderabad,3,3,117,74,39.00,205.26,0,1,5,12
6,Ruturaj Gaikwad Chennai Super,Kings,3,3,116,63,38.66,156.75,0,2,13,4
7,Ishan Kishan Sunrisers,Hyderabad,3,3,108,106*,54.00,203.77,1,0,11,6
8,Dhruv Jurel Rajasthan,Royals,3,3,106,70,35.33,151.42,0,1,10,6
9,Rachin Ravindra Chennai Super,Kings,3,3,106,65*,53.00,132.50,0,1,7,4
10,Suryakumar Yadav Mumbai,Indians,3,3,104,48,52.00,165.07,0,0,6,7
11,Quinton de Kock Kolkata Knight,Riders,3,3,102,97*,51.00,147.82,0,1,9,6
12,Nitish Rana Rajasthan,Royals,3,3,100,81,33.33,188.67,0,1,12,5
13,Sanju Samson Rajasthan,Royals,3,3,99,66,33.00,154.68,0,1,10,5
14,Jos Buttler Gujarat,Titans,2,2,93,54,46.50,163.15,0,1,9,3
