Rank,Player,Team,Mat,Inns,6s
1,Nicholas Pooran Lucknow Super,Giants,2,2,145
2,Aniket Verma Sunrisers,Hyderabad,3,3,117
3,Shreyas Iyer Punjab,Kings,1,1,97
4,Sai Sudharsan Gujarat,Titans,2,2,137
5,Mitchell Marsh Lucknow Super,Giants,2,2,124
6,Suryakumar Yadav Mumbai,Indians,3,3,104
7,Travis Head Sunrisers,Hyderabad,3,3,136
8,Ishan Kishan Sunrisers,Hyderabad,3,3,108
9,Dhruv Jurel Rajasthan,Royals,3,3,106
10,Quinton de Kock Kolkata Knight,Riders,3,3,102
11,Ajinkya Rahane Kolkata Knight,Riders,3,3,85
12,Ashutosh Sharma Delhi,Capitals,1,1,66
13,Faf du Plessis Delhi,Capitals,2,2,79
14,Sherfane Rutherford Gujarat,Titans,2,2,64
15,Nitish Rana Rajasthan,Royals,3,3,100
