Rank,Player,Team,Mat,Inns,50s
1,Nicholas Pooran Lucknow Super,Giants,2,2,145
2,Sai Sudharsan Gujarat,Titans,2,2,137
3,Mitchell Marsh Lucknow Super,Giants,2,2,124
4,Shreyas Iyer Punjab,Kings,1,1,97
5,Ashutosh Sharma Delhi,Capitals,1,1,66
6,Rachin Ravindra Chennai Super,Kings,2,2,106
7,Dhruv Jurel Rajasthan,Royals,2,2,103
8,Quinton de Kock Kolkata Knight,Riders,2,2,101
9,Jos Buttler Gujarat,Titans,2,2,93
10,Virat Kohli Royal Challengers,Bengaluru,2,2,90
11,Phil Salt Royal Challengers,Bengaluru,2,2,88
12,Rajat Patidar Royal Challengers,Bengaluru,2,2,85
13,Sanju Samson Rajasthan,Royals,2,2,79
14,Faf du Plessis Delhi,Capitals,2,2,79
15,Ajinkya Rahane Kolkata Knight,Riders,2,2,74
