Rank,Player,Team,Mat,Inns,4s
1,Travis Head Sunrisers,Hyderabad,3,3,136
2,Phil Salt Royal Challengers,Bengaluru,2,2,88
3,Mitchell Marsh Lucknow Super,Giants,2,2,124
4,Ruturaj Gaikwad Chennai Super,Kings,3,3,116
5,Nicholas Pooran Lucknow Super,Giants,2,2,145
6,Nitish Rana Rajasthan,Royals,3,3,100
7,Ishan Kishan Sunrisers,Hyderabad,3,3,108
8,Dhruv Jurel Rajasthan,Royals,3,3,106
9,Sanju Samson Rajasthan,Royals,3,3,99
10,Sai Sudharsan Gujarat,Titans,2,2,137
11,Jos Buttler Gujarat,Titans,2,2,93
12,Rajat Patidar Royal Challengers,Bengaluru,2,2,85
13,Quinton de Kock Kolkata Knight,Riders,3,3,102
14,Heinrich Klaasen Sunrisers,Hyderabad,3,3,92
15,Ajinkya Rahane Kolkata Knight,Riders,3,3,85
