city,state,current_temp,current_condition,humidity,wind_speed,forecast,last_updated
Chennai,Tamil Nadu,27.71°C,Clear sky,73%,5.37 m/s,"2025-04-02: 30.66°C, Scattered clouds, 56% humidity
2025-04-03: 31.1°C, Overcast clouds, 62% humidity
2025-04-04: 31.76°C, Broken clouds, 58% humidity
2025-04-05: 31.67°C, Broken clouds, 56% humidity
2025-04-06: 32.88°C, Overcast clouds, 55% humidity",2025-04-01
Bengaluru,Karnataka,24.58°C,Overcast clouds,47%,6.78 m/s,"2025-04-02: 29.35°C, Broken clouds, 36% humidity
2025-04-03: 30.38°C, Light rain, 40% humidity
2025-04-04: 28.79°C, Light rain, 46% humidity
2025-04-05: 30.05°C, Broken clouds, 39% humidity
2025-04-06: 28.13°C, Overcast clouds, 45% humidity",2025-04-01
Kolkata,West Bengal,26.73°C,Scattered clouds,77%,5.99 m/s,"2025-04-02: 37.56°C, Clear sky, 26% humidity
2025-04-03: 38.53°C, Broken clouds, 22% humidity
2025-04-04: 39.49°C, Broken clouds, 22% humidity
2025-04-05: 37.64°C, Overcast clouds, 33% humidity
2025-04-06: 39.01°C, Clear sky, 30% humidity",2025-04-01
Delhi,Delhi,29.16°C,Clear sky,7%,2.85 m/s,"2025-04-02: 34.91°C, Clear sky, 5% humidity
2025-04-03: 35.74°C, Clear sky, 4% humidity
2025-04-04: 37.62°C, Clear sky, 4% humidity
2025-04-05: 37.09°C, Clear sky, 8% humidity
2025-04-06: 38.61°C, Clear sky, 8% humidity",2025-04-01
Mumbai,Maharashtra,29.46°C,Overcast clouds,56%,3.6 m/s,"2025-04-02: 30.91°C, Broken clouds, 52% humidity
2025-04-03: 27.72°C, Broken clouds, 83% humidity
2025-04-04: 28.16°C, Clear sky, 70% humidity
2025-04-05: 29.1°C, Clear sky, 51% humidity
2025-04-06: 27.27°C, Clear sky, 70% humidity",2025-04-01
Hyderabad,Telangana,27.88°C,Clear sky,48%,5.96 m/s,"2025-04-02: 32.26°C, Overcast clouds, 31% humidity
2025-04-03: 32.4°C, Scattered clouds, 39% humidity
2025-04-04: 29.09°C, Overcast clouds, 39% humidity
2025-04-05: 34.14°C, Scattered clouds, 32% humidity
2025-04-06: 36.35°C, Scattered clouds, 27% humidity",2025-04-01
Lucknow,Uttar Pradesh,26.75°C,Scattered clouds,8%,2.78 m/s,"2025-04-02: 37.29°C, Overcast clouds, 4% humidity
2025-04-03: 38.7°C, Broken clouds, 4% humidity
2025-04-04: 40.62°C, Clear sky, 9% humidity
2025-04-05: 41.24°C, Clear sky, 4% humidity
2025-04-06: 41.28°C, Clear sky, 6% humidity",2025-04-01
Guwahati,Assam,26.15°C,Clear sky,22%,1.15 m/s,"2025-04-02: 37.15°C, Few clouds, 15% humidity
2025-04-03: 38.31°C, Clear sky, 13% humidity
2025-04-04: 38.79°C, Clear sky, 11% humidity
2025-04-05: 39.54°C, Scattered clouds, 18% humidity
2025-04-06: 35.28°C, Light rain, 30% humidity",2025-04-01
Jaipur,Rajasthan,25.62°C,Clear sky,9%,3.81 m/s,"2025-04-02: 33.78°C, Clear sky, 5% humidity
2025-04-03: 35.78°C, Clear sky, 9% humidity
2025-04-04: 37.23°C, Clear sky, 4% humidity
2025-04-05: 37.58°C, Clear sky, 7% humidity
2025-04-06: 39.03°C, Clear sky, 8% humidity",2025-04-01
Ahmedabad,Gujarat,30.81°C,Scattered clouds,9%,3.3 m/s,"2025-04-02: 37.89°C, Clear sky, 5% humidity
2025-04-03: 37.9°C, Clear sky, 6% humidity
2025-04-04: 37.78°C, Clear sky, 13% humidity
2025-04-05: 39.25°C, Clear sky, 13% humidity
2025-04-06: 39.34°C, Clear sky, 11% humidity",2025-04-01
Visakhapatnam,Andhra Pradesh,26.66°C,Clear sky,77%,2.99 m/s,"2025-04-02: 31.96°C, Clear sky, 49% humidity
2025-04-03: 32.38°C, Scattered clouds, 50% humidity
2025-04-04: 33.11°C, Broken clouds, 51% humidity
2025-04-05: 34.41°C, Broken clouds, 50% humidity
2025-04-06: 35.84°C, Broken clouds, 43% humidity",2025-04-01
Dharamsala,Himachal Pradesh,11.19°C,Clear sky,34%,5.15 m/s,"2025-04-02: 19.86°C, Clear sky, 21% humidity
2025-04-03: 21.03°C, Overcast clouds, 17% humidity
2025-04-04: 21.94°C, Few clouds, 19% humidity
2025-04-05: 22.42°C, Clear sky, 23% humidity
2025-04-06: 24.33°C, Scattered clouds, 23% humidity",2025-04-01
Mohali,Punjab,22°C,Clear sky,8%,2.45 m/s,"2025-04-02: 34.96°C, Clear sky, 5% humidity
2025-04-03: 37.22°C, Clear sky, 4% humidity
2025-04-04: 37.72°C, Clear sky, 5% humidity
2025-04-05: 37.34°C, Clear sky, 8% humidity
2025-04-06: 39.89°C, Clear sky, 7% humidity",2025-04-01
