title,url,date,summary
"IPL 2025, GT vs MI Highlights: Gujarat Titans beat Mumbai Indians by 36 runs in Ahmedabad",https://indianexpress.com/article/sports/cricket/gt-vs-mi-live-cricket-score-ipl-2025-live-score-today-match-gujarat-titans-vs-mumbai-indians-live-cricket-scorecard-updates-9913110/,,"IPL 2025, GT vs MI Highlights: Gujarat Titans beat Mumbai Indians by 36 runs in Ahmedabad"
GT vs MI IPL 2025: Where to Watch Gujarat Titans vs Mumbai Indians Match?,https://indianexpress.com/article/sports/ipl/ipl-2025-gt-vs-mi-live-cricket-score-streaming-online-where-to-watch-gujarat-titans-vs-mumbai-indians-match-live-free-9911191/,,GT vs MI IPL 2025: Where to Watch Gujarat Titans vs Mumbai Indians Match?
"GT vs MI Predicted Playing 11, IPL 2025: Players list, Gujarat Titans vs Mumbai Indians impact subs and full squads",https://indianexpress.com/article/sports/ipl/gt-vs-mi-predicted-playing-11-ipl-2025-players-list-gujarat-titans-mumbai-indians-9911185/,,"GT vs MI Predicted Playing 11, IPL 2025: Players list, Gujarat Titans vs Mumbai Indians impact subs and full squads"
"IPL 2025, GT vs PBKS highlights: Vijaykumar Vyshak shines as Punjab Kings beats Gujarat Titans by 11 runs",https://indianexpress.com/article/sports/cricket/ipl-2025-gt-vs-pbks-live-cricket-score-online-updates-gujarat-titans-vs-punjab-kings-narendra-modi-stadium-scorecard-9904043/,,"IPL 2025, GT vs PBKS highlights: Vijaykumar Vyshak shines as Punjab Kings beats Gujarat Titans by 11 runs"
"IPL 2025: ‘The plan was if you’re going to miss, miss on the wider side’: Arshdeep talks about Vyshak’s spell in Punjab Kings win over Gujarat Titans",https://indianexpress.com/article/sports/ipl/ipl-2025-the-plan-was-if-youre-going-to-miss-miss-on-the-wider-side-arshdeep-talks-about-vyshaks-spell-in-punjab-kings-win-over-gujarat-titans-9906775/,,"IPL 2025: ‘The plan was if you’re going to miss, miss on the wider side’: Arshdeep talks about Vyshak’s spell in Punjab Kings win over Gujarat Titans"
Highest successful run chase in IPL history: Full updated list – Gujarat Titans eye 2nd highest IPL chase,https://indianexpress.com/article/sports/ipl/highest-chase-ipl-team-updated-list-2025-9905909/,,Highest successful run chase in IPL history: Full updated list – Gujarat Titans eye 2nd highest IPL chase
"Who is Priyansh Arya, Delhi batter who made IPL debut for Punjab Kings against Gujarat Titans?",https://indianexpress.com/article/sports/ipl/who-is-priyansh-arya-punjab-kings-opener-debut-pbks-vs-gt-9905617/,,"Who is Priyansh Arya, Delhi batter who made IPL debut for Punjab Kings against Gujarat Titans?"
"Prasidh Krishna, Sai Sudharsan sparkle as Gujarat Titans roll over Mumbai Indians on black-soil Ahmedabad pitch",https://indianexpress.com/article/sports/ipl/prasidh-krishna-sai-sudharsan-gujarat-titans-mumbai-indians-9913610/,,"Prasidh Krishna, Sai Sudharsan sparkle as Gujarat Titans roll over Mumbai Indians on black-soil Ahmedabad pitch"
