Metric,Team 1,Team 2
Played,260,47
Won,124,29
Lost,128,18
Tied,2,0
No Result,6,0
Highest Team Total,263/5,233/3
Lowest Team Total,49/10,89/10
Avg. Runs,159,174
Avg. Wkts,5,5
Most Runs,8094,1870
Most Wickets,139,57
Highest Individual Score,175,129
Best Bowling,5/27,5/10
