Metric,Team 1,Team 2
Played,28,28
Won,19,9
Highest Total,208,228
Lowest Total,48,113
Tosses Won,12,16
Elected To Bat,4,7
Elected To Field,8,9
Won Toss And Match,6,3
"Toss Won, Batting First, Match Won",3,0
"Toss Won, Bowling First, Match Won",3,3
Avg. Runs,155.86,157.57
Avg. Wkts,5.57,6.32
