Metric,Team 1,Team 2
"Toss Won, Batting First, Match Won",4,1
"Toss Won, Bowling First, Match Won",9,4
Tosses Won,20,15
Elected To Bat,5,5
Elected To Field,15,10
Won Toss And Match,13,5
Highest Total,210,232
Lowest Total,68,67
Avg. Runs,156.71,151
Avg. Wkts,5.32,6.44
