Metric,Team 1,Team 2
Played,258,186
Won,132,88
Lost,121,96
Tied,1,1
No Result,4,1
Highest Team Total,272/7,287/3
Lowest Team Total,66/2,72/1
Avg. Runs,156,160
Avg. Wkts,5,5
Most Runs,3035,4014
Most Wickets,181,157
Highest Individual Score,158,126
Best Bowling,5/15,5/19
