Metric,Team 1,Team 2
Played,264,257
Won,144,132
Lost,119,120
Tied,0,1
No Result,1,4
Highest Team Total,247/9,272/7
Lowest Team Total,68/2,66/2
Avg. Runs,161,156
Avg. Wkts,6,5
Most Runs,5479,3035
Most Wickets,170,181
Highest Individual Score,114,158
Best Bowling,6/12,5/15
