Metric,Team 1,Team 2
"Toss Won, Batting First, Match Won",0,0
"Toss Won, Bowling First, Match Won",2,1
Tosses Won,3,2
Elected To Bat,1,1
Elected To Field,2,1
Won Toss And Match,2,1
Highest Total,206,200
Lowest Total,152,147
Avg. Runs,179,177.4
Avg. Wkts,4,5.2
