title,url,date,summary
"IPL 2025, SRH vs LSG: Where to Watch Sunrisers Hyderabad vs Lucknow Super Giants MatcH?",https://indianexpress.com/article/sports/ipl/ipl-2025-srh-vs-lsg-live-cricket-score-streaming-online-9907961/,,"IPL 2025, SRH vs LSG: Where to Watch Sunrisers Hyderabad vs Lucknow Super Giants MatcH?"
"IPL 2025, SRH vs LSG: Players list, Sunrisers Hyderabad vs Lucknow Super Giants impact subs and full squads",https://indianexpress.com/article/sports/cricket/ipl-2025-srh-vs-lsg-predicted-playing-11-sunrisers-hyderabad-v-lucknow-super-giants-9907944/,,"IPL 2025, SRH vs LSG: Players list, Sunrisers Hyderabad vs Lucknow Super Giants impact subs and full squads"
Kolkata Knight Riders vs Lucknow Super Giants IPL 2025 clash rescheduled due to Ram Navami festivities,https://indianexpress.com/article/sports/ipl/kolkata-knight-riders-vs-lucknow-super-giants-ipl-2025-clash-rescheduled-due-to-ram-navami-festivities-9912000/,,Kolkata Knight Riders vs Lucknow Super Giants IPL 2025 clash rescheduled due to Ram Navami festivities
SRH vs LSG Highlights: Nicholas Pooran and Mitchell Marsh star as Lucknow defeat Hyderabad by 5 wickets,https://indianexpress.com/article/sports/cricket/ipl-2025-srh-vs-lsg-live-cricket-score-online-updates-sunrisers-hyderabad-vs-lucknow-super-giants-rajiv-gandhi-international-stadium-scorecard-9907993/,,SRH vs LSG Highlights: Nicholas Pooran and Mitchell Marsh star as Lucknow defeat Hyderabad by 5 wickets
"IPL, DC vs LSG: Ashutosh Sharma secures win for Delhi from the jaws of defeat",https://indianexpress.com/article/sports/ipl/dc-lsg-ashutosh-sharma-delhi-capitals-win-lucknow-super-giants-9904059/,,"IPL, DC vs LSG: Ashutosh Sharma secures win for Delhi from the jaws of defeat"
SRH vs LSG: Shardul Thakur shines with ball and Nicholas Pooran closes out with bat,https://indianexpress.com/article/sports/ipl/srh-vs-lsg-shardul-thakur-4-wickets-nicholas-pooran-bat-9910051/,,SRH vs LSG: Shardul Thakur shines with ball and Nicholas Pooran closes out with bat
SRH vs LSG preview: Can Harshal Patel find new safe home at Sunrisers Hyderabad after online trolling in past?,https://indianexpress.com/article/sports/ipl/srh-vs-lsg-preview-harshal-patel-new-home-trolling-9907602/,,SRH vs LSG preview: Can Harshal Patel find new safe home at Sunrisers Hyderabad after online trolling in past?
"After nail-biting loss to DC, Sanjiv Goenka delivers a message to his LSG team",https://indianexpress.com/article/sports/ipl/after-loss-to-dc-sanjiv-goenka-delivers-a-message-to-lsg-9904911/,,"After nail-biting loss to DC, Sanjiv Goenka delivers a message to his LSG team"
IPL 2025 : ‘Every team in IPL could lose….’ : What Sunrisers Hyderabad coach Vettori told the team post the loss against Super Giants,https://indianexpress.com/article/sports/ipl/ipl-2025-every-team-in-ipl-could-lose-what-sunrisers-hyderabad-coach-vettori-told-the-team-post-the-loss-against-super-giants-9911662/,,IPL 2025 : ‘Every team in IPL could lose….’ : What Sunrisers Hyderabad coach Vettori told the team post the loss against Super Giants
IPL 2025: Ishan Kishan falls for golden duck against Lucknow after scoring century,https://indianexpress.com/article/sports/ipl/ipl-2025-ishan-kishan-falls-for-golden-duck-srh-vs-lsg-shardul-thakur-9909694/,,IPL 2025: Ishan Kishan falls for golden duck against Lucknow after scoring century
