title,url,date,summary
"IPL 2025, GT vs PBKS highlights: Vijaykumar Vyshak shines as Punjab Kings beats Gujarat Titans by 11 runs",https://indianexpress.com/article/sports/cricket/ipl-2025-gt-vs-pbks-live-cricket-score-online-updates-gujarat-titans-vs-punjab-kings-narendra-modi-stadium-scorecard-9904043/,,"IPL 2025, GT vs PBKS highlights: Vijaykumar Vyshak shines as Punjab Kings beats Gujarat Titans by 11 runs"
"IPL 2025, GT vs PBKS: What to expect in the Gujarat Titans vs Punjab Kings game",https://indianexpress.com/article/sports/ipl/ipl-2025-gt-vs-pbks-narendra-modi-stadium-pitch-report-weather-gujarat-titans-vs-punjab-kings-9904607/,,"IPL 2025, GT vs PBKS: What to expect in the Gujarat Titans vs Punjab Kings game"
"IPL 2025: ‘The plan was if you’re going to miss, miss on the wider side’: Arshdeep talks about Vyshak’s spell in Punjab Kings win over Gujarat Titans",https://indianexpress.com/article/sports/ipl/ipl-2025-the-plan-was-if-youre-going-to-miss-miss-on-the-wider-side-arshdeep-talks-about-vyshaks-spell-in-punjab-kings-win-over-gujarat-titans-9906775/,,"IPL 2025: ‘The plan was if you’re going to miss, miss on the wider side’: Arshdeep talks about Vyshak’s spell in Punjab Kings win over Gujarat Titans"
"Who is Priyansh Arya, Delhi batter who made IPL debut for Punjab Kings against Gujarat Titans?",https://indianexpress.com/article/sports/ipl/who-is-priyansh-arya-punjab-kings-opener-debut-pbks-vs-gt-9905617/,,"Who is Priyansh Arya, Delhi batter who made IPL debut for Punjab Kings against Gujarat Titans?"
"IPL 2025: How PBKS’ Priyansh Arya, who has impressed Ricky Ponting, made a strong start to life in IPL",https://indianexpress.com/article/sports/ipl/priyansh-arya-strong-impression-punjab-kings-debut-gujarat-9907851/,,"IPL 2025: How PBKS’ Priyansh Arya, who has impressed Ricky Ponting, made a strong start to life in IPL"
‘You were the one that changed the game’: Ricky Ponting heaps praises on PBKS captain Shreyas Iyer for Vijaykumar Vyshak decision,https://indianexpress.com/article/sports/ipl/ricky-ponting-shreyas-iyer-vijaykumar-vyshak-decision-pbks-9907573/,,‘You were the one that changed the game’: Ricky Ponting heaps praises on PBKS captain Shreyas Iyer for Vijaykumar Vyshak decision
‘It’s set a nice example for everyone’: Aakash Chopra lauds PBKS captain Shreyas Iyer for selfless batting vs GT,https://indianexpress.com/article/sports/ipl/aakash-chopra-lauds-shreyas-iyer-batting-pbks-gt-century-miss-9907462/,,‘It’s set a nice example for everyone’: Aakash Chopra lauds PBKS captain Shreyas Iyer for selfless batting vs GT
